L Ef kx gap_2nd_microeV gap_4th_microeV
4.000000000000000000e+02 3.846153846153845947e-06 1.666666666666666557e-03 4.365668783858252411e+00 4.364042720406396292e+00
4.000000000000000000e+02 3.846153846153845947e-06 1.818181818181818180e-03 4.762547764213930890e+00 4.760547561163432029e+00
4.000000000000000000e+02 3.846153846153845947e-06 1.969696969696969804e-03 5.159426744569609369e+00 5.156993363061163294e+00
4.000000000000000000e+02 3.846153846153845947e-06 2.121212121212120993e-03 5.556305724920516553e+00 5.553375206192225910e+00
4.000000000000000000e+02 3.846153846153845947e-06 2.272727272727272617e-03 5.953184705277929645e+00 5.949688170644919616e+00
4.000000000000000000e+02 3.846153846153845947e-06 2.424242424242424240e-03 6.350063685628404286e+00 6.345927336520555961e+00
4.000000000000000000e+02 3.846153846153845947e-06 2.575757575757575864e-03 6.746942665982781584e+00 6.742087783908734089e+00
4.000000000000000000e+02 3.846153846153845947e-06 2.727272727272727487e-03 7.143821646340194675e+00 7.138164592906427686e+00
4.000000000000000000e+02 3.846153846153845947e-06 2.878787878787878677e-03 7.540700626690669317e+00 7.534152843613646233e+00
4.000000000000000000e+02 3.846153846153845947e-06 3.030303030303030300e-03 7.937579607045046615e+00 7.930047616115220244e+00
4.000000000000000000e+02 3.846153846153845947e-06 3.181818181818181924e-03 8.334458587398989593e+00 8.325843990512025172e+00
4.000000000000000000e+02 3.846153846153845947e-06 3.333333333333333114e-03 8.731337567755970142e+00 8.721537046899301870e+00
4.000000000000000000e+02 3.846153846153845947e-06 3.484848484848484737e-03 9.128216548109046258e+00 9.117121865370551248e+00
4.000000000000000000e+02 3.846153846153845947e-06 3.636363636363636360e-03 9.525095528461255512e+00 9.512593526018847001e+00
4.000000000000000000e+02 3.846153846153845947e-06 3.787878787878787984e-03 9.921974508816498783e+00 9.907947108939422876e+00
4.000000000000000000e+02 3.846153846153845947e-06 3.939393939393939607e-03 1.031885348916957490e+01 1.030317769422622121e+01
4.000000000000000000e+02 3.846153846153845947e-06 4.090909090909091231e-03 1.071573246952698888e+01 1.069828036198141774e+01
4.000000000000000000e+02 3.846153846153845947e-06 4.242424242424241987e-03 1.111261144987702920e+01 1.109325019228680631e+01
4.000000000000000000e+02 3.846153846153845947e-06 4.393939393939393610e-03 1.150949043023184082e+01 1.148808226524803544e+01
4.000000000000000000e+02 3.846153846153845947e-06 4.545454545454545234e-03 1.190636941058751930e+01 1.188277166095427084e+01
4.000000000000000000e+02 3.846153846153845947e-06 4.696969696969696857e-03 1.230324839094102884e+01 1.227731345949901609e+01
4.000000000000000000e+02 3.846153846153845947e-06 4.848484848484848481e-03 1.270012737129410496e+01 1.267170274098315019e+01
4.000000000000000000e+02 3.846153846153845947e-06 5.000000000000000104e-03 1.309700635164978344e+01 1.306593458549843945e+01
4.000000000000000000e+02 3.846153846153845947e-06 5.151515151515151728e-03 1.349388533200155926e+01 1.346000407313838920e+01
4.000000000000000000e+02 3.846153846153845947e-06 5.303030303030303351e-03 1.389076431235636910e+01 1.385390628399650303e+01
4.000000000000000000e+02 3.846153846153845947e-06 5.454545454545454974e-03 1.428764329271031386e+01 1.424763629816975374e+01
4.000000000000000000e+02 3.846153846153845947e-06 5.606060606060605730e-03 1.468452227306555891e+01 1.464118919575338040e+01
4.000000000000000000e+02 3.846153846153845947e-06 5.757575757575757354e-03 1.508140125341863502e+01 1.503456005684132180e+01
